#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
1932,Njegoš Petrović,SRB,"MF,FW",Granada,es La Liga,24,1999,10,0,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
1933,Đorđe Petrović,SRB,GK,Chelsea,eng Premier League,24,1999,16,15,"1,357",15.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1934,Jens Petter Hauge,NOR,"MF,FW",Eint Frankfurt,de Bundesliga,24,1999,10,0,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,7,6,15,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1935,Germán Pezzella,ARG,DF,Betis,es La Liga,32,1991,29,29,"2,526",28.1,1,0,1,1,0,0,7,0,1.7,1.7,0.3,2.0,5,59,1,0.04,0.00,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
1936,Giuseppe Pezzella,ITA,DF,Empoli,it Serie A,26,1997,14,9,675,7.5,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,34,36,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
1937,Luca Pfeiffer,GER,"FW,MF",Darmstadt 98,de Bundesliga,27,1996,23,19,"1,529",17.0,1,4,5,1,0,0,3,0,4.5,4.5,1.5,6.0,14,32,77,0.06,0.24,0.29,0.06,0.29,0.27,0.09,0.35,0.27,0.35
1938,Patric Pfeiffer,GER,DF,Augsburg,de Bundesliga,24,1999,8,4,416,4.6,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1.0,1,17,3,0.00,0.22,0.22,0.00,0.22,0.06,0.15,0.22,0.06,0.22
1939,Maximilian Philipp,GER,"FW,MF",Freiburg,de Bundesliga,30,1994,14,1,294,3.3,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,3,6,28,0.31,0.00,0.31,0.31,0.31,0.15,0.13,0.27,0.15,0.27
1940,Kalvin Phillips,ENG,MF,West Ham,eng Premier League,28,1995,7,3,293,3.3,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,3,17,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1941,Jaden Philogene Bidace,ENG,FW,Aston Villa,eng Premier League,22,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1942,Kamil Piątkowski,POL,DF,Granada,es La Liga,23,2000,5,5,351,3.9,0,0,0,0,0,0,1,1,0.7,0.7,0.0,0.8,2,7,0,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
1943,Roberto Piccoli,ITA,FW,Empoli,it Serie A,23,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
1944,Florian Pick,GER,"MF,FW",Heidenheim,de Bundesliga,28,1995,19,1,284,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.5,0.8,9,10,28,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.25,0.08,0.25
1945,Jordan Pickford,ENG,GK,Everton,eng Premier League,30,1994,32,32,"2,880",32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1946,Amos Pieper,GER,DF,Werder Bremen,de Bundesliga,26,1998,7,7,590,6.6,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.2,3,24,3,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19
1947,Marvin Pieringer,GER,"MF,FW",Heidenheim,de Bundesliga,24,1999,26,14,"1,234",13.7,3,3,6,3,0,0,5,0,2.1,2.1,1.9,4.0,27,34,59,0.22,0.22,0.44,0.22,0.44,0.15,0.14,0.29,0.15,0.29
1948,Santiago Pierotti,ARG,MF,Lecce,it Serie A,23,2001,5,0,44,0.5,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,1,2,6,0.00,2.05,2.05,0.00,2.05,0.61,1.90,2.51,0.61,2.51
1949,Niccolò Pierozzi,ITA,DF,Salernitana,it Serie A,22,2001,7,6,466,5.2,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,3,10,17,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
1950,Ronaël Pierre-Gabriel,FRA,DF,Nantes,fr Ligue 1,25,1998,12,6,598,6.6,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.2,12,17,12,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17
1951,Andrea Pinamonti,ITA,FW,Sassuolo,it Serie A,24,1999,32,32,"2,618",29.1,10,1,11,9,1,2,3,0,7.6,6.0,1.8,7.8,16,37,133,0.34,0.03,0.38,0.31,0.34,0.26,0.06,0.32,0.21,0.27
1952,Ethan Pinnock,JAM,DF,Brentford,eng Premier League,30,1993,24,23,"2,071",23.0,1,0,1,1,0,0,0,0,1.7,1.7,1.0,2.7,10,54,15,0.04,0.00,0.04,0.04,0.04,0.07,0.04,0.12,0.07,0.12
1953,Yeremi Pino,ESP,"MF,FW",Villarreal,es La Liga,21,2002,7,7,475,5.3,0,0,0,0,0,0,4,0,1.4,1.4,0.2,1.7,11,10,49,0.00,0.00,0.00,0.00,0.00,0.27,0.05,0.31,0.27,0.31
1954,Lorenzo Pirola,ITA,DF,Salernitana,it Serie A,22,2002,22,19,"1,610",17.9,1,0,1,1,0,0,4,0,0.8,0.8,0.0,0.8,13,53,7,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04
1955,Niccolò Pisilli,ITA,MF,Roma,it Serie A,19,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956,Alassane Pléa,FRA,"FW,MF",M'Gladbach,de Bundesliga,31,1993,22,19,"1,570",17.4,7,3,10,6,1,1,1,0,6.1,5.3,3.5,8.8,48,101,127,0.40,0.17,0.57,0.34,0.52,0.35,0.20,0.55,0.31,0.51
1957,Tommaso Pobega,ITA,MF,Milan,it Serie A,24,1999,9,3,299,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,10,9,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
1958,Paul Pogba,FRA,MF,Juventus,it Serie A,31,1993,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1959,Ole Pohlmann,GER,MF,Dortmund,de Bundesliga,23,2001,1,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.31,0.14,0.31
1960,Matteo Politano,ITA,FW,Napoli,it Serie A,30,1993,31,25,"1,950",21.7,8,5,13,6,2,2,2,1,5.8,4.2,5.4,9.6,97,140,180,0.37,0.23,0.60,0.28,0.51,0.27,0.25,0.52,0.19,0.44
