#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
329,Hugo Boutsingkham,FRA,"MF,FW",Nantes,fr Ligue 1,21,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
330,Edoardo Bove,ITA,MF,Roma,it Serie A,21,2002,26,15,"1,474",16.4,0,2,2,0,0,0,2,0,1.9,1.9,0.6,2.5,15,65,41,0.00,0.12,0.12,0.00,0.12,0.11,0.04,0.15,0.11,0.15
331,Jarrod Bowen,ENG,FW,West Ham,eng Premier League,27,1996,31,31,"2,749",30.5,15,5,20,15,0,0,2,0,9.7,9.7,4.7,14.4,78,48,174,0.49,0.16,0.65,0.49,0.65,0.32,0.15,0.47,0.32,0.47
332,Lucas Boyé,ARG,FW,Granada,es La Liga,28,1996,24,23,"1,936",21.5,4,3,7,4,0,0,6,1,4.2,4.2,2.3,6.5,26,50,87,0.19,0.14,0.33,0.19,0.33,0.20,0.11,0.31,0.19,0.30
333,Domagoj Bradarić,CRO,DF,Salernitana,it Serie A,24,1999,31,27,"2,493",27.7,0,3,3,0,0,0,5,0,0.7,0.7,1.5,2.2,53,73,114,0.00,0.11,0.11,0.00,0.11,0.02,0.05,0.08,0.02,0.08
334,Conor Bradley,NIR,DF,Liverpool,eng Premier League,20,2003,10,10,733,8.1,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,34,29,63,0.12,0.37,0.49,0.12,0.49,0.11,0.18,0.29,0.11,0.29
335,Bilal Brahimi,ALG,FW,Nice,fr Ligue 1,24,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58
336,Juan Brandáriz,ESP,DF,Almería,es La Liga,25,1999,24,19,"1,804",20.0,0,1,1,0,0,0,3,0,0.1,0.1,1.4,1.5,9,51,4,0.00,0.05,0.05,0.00,0.05,0.00,0.07,0.07,0.00,0.07
337,Julian Brandt,GER,"MF,FW",Dortmund,de Bundesliga,27,1996,27,24,"1,951",21.7,6,11,17,6,0,0,2,0,4.1,4.1,8.5,12.5,66,90,142,0.28,0.51,0.78,0.28,0.78,0.19,0.39,0.58,0.19,0.58
338,Jarrad Branthwaite,ENG,DF,Everton,eng Premier League,21,2002,29,29,"2,576",28.6,2,0,2,2,0,0,7,0,1.5,1.5,0.9,2.5,2,59,6,0.07,0.00,0.07,0.07,0.07,0.05,0.03,0.09,0.05,0.09
339,Darko Brašanac,SRB,MF,Osasuna,es La Liga,32,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
340,Lilian Brassier,FRA,DF,Brest,fr Ligue 1,24,1999,26,26,"2,317",25.7,1,0,1,1,0,0,10,1,0.5,0.5,0.6,1.0,17,100,3,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
341,Claudio Bravo,CHI,GK,Betis,es La Liga,41,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
342,Fabian Bredlow,GER,GK,Stuttgart,de Bundesliga,29,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
343,Tim Breithaupt,GER,MF,Augsburg,de Bundesliga,22,2002,12,3,428,4.8,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,0,9,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
344,Josip Brekalo,CRO,FW,Fiorentina,it Serie A,25,1998,11,8,652,7.2,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14,25,69,0.14,0.00,0.14,0.14,0.14,0.06,0.04,0.10,0.06,0.10
345,Gleison Bremer,BRA,DF,Juventus,it Serie A,27,1997,31,31,"2,783",30.9,2,0,2,2,0,0,7,0,1.3,1.3,0.3,1.7,5,93,4,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05
346,Brenner,BRA,FW,Udinese,it Serie A,24,2000,4,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
347,Ben Brereton,CHI,"FW,MF",Sheffield Utd,eng Premier League,25,1999,8,8,586,6.5,4,1,5,4,0,0,3,0,2.9,2.9,1.1,3.9,13,15,39,0.61,0.15,0.77,0.61,0.77,0.44,0.16,0.61,0.44,0.61
348,Marco Brescianini,ITA,MF,Frosinone,it Serie A,24,2000,30,18,"1,803",20.0,3,1,4,3,0,0,1,0,1.4,1.4,0.8,2.2,35,55,68,0.15,0.05,0.20,0.15,0.20,0.07,0.04,0.11,0.07,0.11
349,Maximilian Breunig,GER,FW,Freiburg,de Bundesliga,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
350,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,eng Premier League,24,2000,11,3,307,3.4,0,0,0,0,0,0,0,1,0.3,0.3,0.1,0.4,1,2,17,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11
351,Armando Broja,ALB,FW,Chelsea,eng Premier League,22,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.20,0.00,0.20,0.20,0.20,0.47,0.03,0.50,0.47,0.50
352,Dylan Bronn,TUN,"DF,MF",Salernitana,it Serie A,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
353,Andre Brooks,ENG,"MF,DF",Sheffield Utd,eng Premier League,20,2003,14,8,663,7.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,12,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
354,David Brooks,WAL,"FW,MF",Bournemouth,eng Premier League,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03
355,John Brooks,USA,DF,Hoffenheim,de Bundesliga,31,1993,20,18,"1,519",16.9,2,0,2,2,0,0,6,1,2.5,2.5,0.1,2.6,5,60,1,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
356,Moritz Broschinski,GER,FW,Bochum,de Bundesliga,23,2000,22,11,"1,015",11.3,2,1,3,2,0,0,4,0,1.6,1.6,1.4,3.1,12,9,64,0.18,0.09,0.27,0.18,0.27,0.14,0.13,0.27,0.14,0.27
357,Jacob Brown,SCO,"MF,FW",Luton Town,eng Premier League,26,1998,19,12,"1,019",11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30
358,Josh Brownhill,ENG,MF,Burnley,eng Premier League,28,1995,30,22,"2,120",23.6,4,2,6,4,0,0,3,1,1.9,1.9,1.9,3.8,17,84,31,0.17,0.08,0.25,0.17,0.25,0.08,0.08,0.16,0.08,0.16
359,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28,1995,1,1,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
360,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,eng Premier League,25,1998,27,11,934,10.4,4,0,4,3,1,1,0,0,4.1,3.3,0.9,4.2,47,28,114,0.39,0.00,0.39,0.29,0.29,0.39,0.09,0.48,0.31,0.40
361,Tajon Buchanan,CAN,DF,Inter,it Serie A,25,1999,5,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,0,8,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
362,Ante Budimir,CRO,FW,Osasuna,es La Liga,32,1991,31,28,"2,371",26.3,16,2,18,13,3,4,4,0,13.8,10.6,1.8,12.4,21,41,96,0.61,0.08,0.68,0.49,0.57,0.52,0.07,0.59,0.40,0.47
363,Hugo Bueno,ESP,"DF,MF",Wolves,eng Premier League,21,2002,18,5,562,6.2,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,19,6,36,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
364,Santiago Bueno,URU,DF,Wolves,eng Premier League,25,1998,8,6,584,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
365,Marius Bülter,GER,"DF,FW",Hoffenheim,de Bundesliga,31,1993,26,12,"1,108",12.3,1,3,4,1,0,0,3,1,1.3,1.3,2.6,3.9,27,40,88,0.08,0.24,0.32,0.08,0.32,0.11,0.21,0.32,0.11,0.32
366,Facundo Buonanotte,ARG,"FW,MF",Brighton,eng Premier League,19,2004,23,13,"1,079",12.0,3,1,4,3,0,0,7,0,2.0,2.0,1.7,3.7,17,33,55,0.25,0.08,0.33,0.25,0.33,0.17,0.15,0.31,0.17,0.31
367,Alessandro Buongiorno,ITA,DF,Torino,it Serie A,24,1999,24,24,"2,088",23.2,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,12,53,6,0.13,0.00,0.13,0.13,0.13,0.07,0.01,0.07,0.07,0.07
368,Jonathan Burkardt,GER,"FW,MF",Mainz 05,de Bundesliga,23,2000,16,13,"1,089",12.1,5,2,7,4,1,1,1,0,3.9,3.1,1.7,4.8,25,24,64,0.41,0.17,0.58,0.33,0.50,0.32,0.14,0.46,0.26,0.39
369,Oliver Burke,SCO,FW,Werder Bremen,de Bundesliga,27,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
370,Reece Burke,ENG,DF,Luton Town,eng Premier League,27,1996,18,16,"1,349",15.0,0,3,3,0,0,0,4,0,1.3,1.3,1.1,2.4,7,44,12,0.00,0.20,0.20,0.00,0.20,0.08,0.08,0.16,0.08,0.16
371,Dan Burn,ENG,DF,Newcastle Utd,eng Premier League,31,1992,27,26,"2,186",24.3,2,2,4,2,0,0,3,0,2.6,2.6,1.0,3.6,13,66,25,0.08,0.08,0.16,0.08,0.16,0.11,0.04,0.15,0.11,0.15
372,Rareș-Cătălin Burnete,ROU,FW,Lecce,it Serie A,20,2004,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,11.25,11.25,0.00,11.25,0.00,0.71,0.71,0.00,0.71
373,Mason Burstow,ENG,FW,Chelsea,eng Premier League,20,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
374,Marnon Busch,GER,DF,Heidenheim,de Bundesliga,29,1994,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
375,Maxime Busi,BEL,"FW,DF",Reims,fr Ligue 1,24,1999,4,1,129,1.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,2,11,0.00,0.00,0.00,0.00,0.00,0.12,0.14,0.26,0.12,0.26
376,Pablo Busto,ESP,DF,Betis,es La Liga,18,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.44,0.03,0.44
377,Aurélio Buta,POR,"DF,MF",Eint Frankfurt,de Bundesliga,27,1997,25,17,"1,463",16.3,1,1,2,1,0,0,5,0,0.3,0.3,0.7,1.0,41,70,89,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06
378,Marcin Bułka,POL,GK,Nice,fr Ligue 1,24,1999,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
379,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,de Bundesliga,19,2004,20,11,765,8.5,1,3,4,1,0,0,1,0,1.8,1.8,2.2,4.0,44,19,78,0.12,0.35,0.47,0.12,0.47,0.21,0.26,0.47,0.21,0.47
380,Rémy Cabella,FRA,"FW,MF",Lille,fr Ligue 1,34,1990,24,12,"1,222",13.6,2,1,3,2,0,0,0,0,5.0,5.0,2.9,7.9,64,90,136,0.15,0.07,0.22,0.15,0.22,0.37,0.21,0.58,0.37,0.58
381,Jovane Cabral,CPV,"MF,FW",Salernitana,it Serie A,25,1998,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22,40,39,0.13,0.00,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
382,Liberato Cacace,NZL,DF,Empoli,it Serie A,23,2000,26,17,"1,716",19.1,0,1,1,0,0,0,6,0,0.3,0.3,1.3,1.6,27,74,50,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08
383,Anthony Caci,FRA,DF,Mainz 05,de Bundesliga,26,1997,26,25,"2,155",23.9,2,1,3,2,0,0,6,0,1.3,1.3,2.2,3.6,31,113,49,0.08,0.04,0.13,0.08,0.13,0.06,0.09,0.15,0.06,0.15
384,Moisés Caicedo,ECU,MF,Chelsea,eng Premier League,22,2001,28,26,"2,263",25.1,0,1,1,0,0,0,9,0,0.3,0.3,1.5,1.9,14,128,19,0.00,0.04,0.04,0.00,0.04,0.01,0.06,0.07,0.01,0.07
385,Tom Cairney,SCO,MF,Fulham,eng Premier League,33,1991,29,14,"1,385",15.4,1,4,5,1,0,0,2,0,1.0,1.0,2.1,3.1,34,137,68,0.06,0.26,0.32,0.06,0.32,0.06,0.14,0.20,0.06,0.20
386,Jens Cajuste,SWE,MF,Napoli,it Serie A,24,1999,21,6,651,7.2,0,1,1,0,0,0,5,0,1.0,1.0,0.7,1.6,15,24,33,0.00,0.14,0.14,0.00,0.14,0.14,0.09,0.23,0.14,0.23
387,Davide Calabria,ITA,DF,Milan,it Serie A,27,1996,27,24,"2,006",22.3,0,3,3,0,0,0,5,1,1.0,1.0,1.0,2.0,26,116,58,0.00,0.13,0.13,0.00,0.13,0.05,0.04,0.09,0.05,0.09
388,Riccardo Calafiori,ITA,DF,Bologna,it Serie A,21,2002,26,22,"2,016",22.4,0,3,3,0,0,0,4,0,0.7,0.7,0.8,1.4,24,85,15,0.00,0.13,0.13,0.00,0.13,0.03,0.03,0.06,0.03,0.06
389,Luca Caldirola,ITA,DF,Monza,it Serie A,33,1991,26,23,"2,070",23.0,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,9,51,8,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.05,0.02,0.05
390,Duje Ćaleta-Car,CRO,DF,Lyon,fr Ligue 1,27,1996,19,17,"1,543",17.1,0,0,0,0,0,0,2,1,0.4,0.4,1.0,1.4,5,54,1,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
391,Hakan Çalhanoğlu,TUR,MF,Inter,it Serie A,30,1994,28,28,"2,245",24.9,11,3,14,2,9,9,5,0,9.1,2.0,4.6,6.6,42,170,29,0.44,0.12,0.56,0.08,0.20,0.36,0.18,0.55,0.08,0.26
392,José Callejón,ESP,"MF,FW",Granada,es La Liga,37,1987,21,7,657,7.3,0,1,1,0,0,0,0,0,1.0,1.0,0.8,1.9,8,25,39,0.00,0.14,0.14,0.00,0.14,0.14,0.11,0.26,0.14,0.26
393,Dominic Calvert-Lewin,ENG,FW,Everton,eng Premier League,27,1997,27,21,"1,785",19.8,5,1,6,4,1,1,1,0,10.9,10.1,1.7,11.8,28,28,94,0.25,0.05,0.30,0.20,0.25,0.55,0.09,0.63,0.51,0.59
394,Lamine Camara,SEN,MF,Metz,fr Ligue 1,20,2004,27,23,"1,968",21.9,1,4,5,1,0,1,3,0,2.1,1.3,3.2,4.5,21,80,64,0.05,0.18,0.23,0.05,0.23,0.10,0.15,0.24,0.06,0.21
395,Mahdi Camara,FRA,MF,Brest,fr Ligue 1,25,1998,27,22,"1,682",18.7,5,2,7,4,1,1,6,0,4.2,3.5,2.7,6.2,27,62,104,0.27,0.11,0.37,0.21,0.32,0.23,0.14,0.37,0.19,0.33
396,Mohamed Camara,MLI,MF,Monaco,fr Ligue 1,24,2000,15,12,835,9.3,0,1,1,0,0,0,4,0,0.7,0.7,0.5,1.2,12,62,18,0.00,0.11,0.11,0.00,0.11,0.07,0.05,0.13,0.07,0.13
397,Francesco Camarda,ITA,FW,Milan,it Serie A,16,2008,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
398,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,es La Liga,21,2002,24,16,"1,398",15.5,0,1,1,0,0,0,7,0,0.7,0.7,0.8,1.5,40,80,24,0.00,0.06,0.06,0.00,0.06,0.05,0.05,0.10,0.05,0.10
399,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,it Serie A,23,2000,31,26,"2,264",25.2,1,1,2,1,0,0,3,0,3.1,3.1,2.4,5.6,112,60,181,0.04,0.04,0.08,0.04,0.08,0.12,0.10,0.22,0.12,0.22
400,Andrea Cambiaso,ITA,"DF,FW",Juventus,it Serie A,24,2000,29,23,"1,978",22.0,2,3,5,2,0,0,9,0,2.0,2.0,3.0,5.0,69,46,138,0.09,0.14,0.23,0.09,0.23,0.09,0.14,0.23,0.09,0.23
401,Axel Camblan,FRA,FW,Brest,fr Ligue 1,20,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.29,0.25,0.29
402,Sergio Camello,ESP,FW,Rayo Vallecano,es La Liga,23,2001,26,15,"1,307",14.5,3,1,4,3,0,0,3,0,4.0,4.0,0.8,4.7,18,33,69,0.21,0.07,0.28,0.21,0.28,0.27,0.05,0.33,0.27,0.33
403,José Campaña,ESP,MF,Las Palmas,es La Liga,30,1993,5,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
404,Emre Can,GER,"MF,DF",Dortmund,de Bundesliga,30,1994,23,20,"1,794",19.9,2,2,4,0,2,2,4,0,2.0,0.4,1.4,1.8,30,102,16,0.10,0.10,0.20,0.00,0.10,0.10,0.07,0.17,0.02,0.09
405,Matteo Cancellieri,ITA,"FW,MF",Empoli,it Serie A,22,2002,30,15,"1,470",16.3,3,2,5,3,0,0,7,0,3.3,3.3,2.2,5.5,44,22,112,0.18,0.12,0.31,0.18,0.31,0.20,0.13,0.34,0.20,0.34
406,João Cancelo,POR,DF,Barcelona,es La Liga,29,1994,25,23,"1,963",21.8,2,3,5,2,0,0,5,0,1.4,1.4,5.3,6.7,88,112,140,0.09,0.14,0.23,0.09,0.23,0.06,0.24,0.31,0.06,0.31
407,Fali Candé,GNB,DF,Metz,fr Ligue 1,26,1998,23,18,"1,670",18.6,0,1,1,0,0,0,3,0,0.8,0.8,0.5,1.3,3,32,2,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.07,0.04,0.07
408,Antonio Candreva,ITA,"MF,FW",Salernitana,it Serie A,37,1987,31,30,"2,578",28.6,6,6,12,5,1,1,4,0,4.7,3.9,5.0,8.9,64,142,177,0.21,0.21,0.42,0.17,0.38,0.16,0.17,0.34,0.14,0.31
409,Thomas Cannon,IRL,FW,Everton,eng Premier League,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410,Sergi Canós,ESP,"MF,FW",Valencia,es La Liga,27,1997,20,12,870,9.7,1,2,3,1,0,0,0,0,1.0,1.0,1.9,2.9,23,33,63,0.10,0.21,0.31,0.10,0.31,0.10,0.20,0.30,0.10,0.30
411,Luigi Canotto,ITA,FW,Frosinone,it Serie A,29,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412,Gino Caoki,FRA,MF,Lorient,fr Ligue 1,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413,Étienne Capoue,FRA,MF,Villarreal,es La Liga,35,1988,28,15,"1,406",15.6,1,1,2,1,0,0,8,0,0.9,0.9,0.6,1.5,22,73,36,0.06,0.06,0.13,0.06,0.13,0.06,0.04,0.09,0.06,0.09
414,Gianluca Caprari,ITA,"MF,FW",Monza,it Serie A,30,1993,4,4,255,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0.9,11,15,12,0.00,0.00,0.00,0.00,0.00,0.10,0.23,0.33,0.10,0.33
415,Elia Caprile,ITA,GK,Empoli,it Serie A,22,2001,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,Francesco Caputo,ITA,FW,Empoli,it Serie A,36,1987,16,14,"1,112",12.4,3,0,3,2,1,1,0,0,3.0,2.2,0.7,2.9,6,18,57,0.24,0.00,0.24,0.16,0.16,0.24,0.06,0.30,0.18,0.23
417,Maxence Caqueret,FRA,MF,Lyon,fr Ligue 1,24,2000,29,29,"2,572",28.6,1,3,4,1,0,0,1,0,1.6,1.6,5.7,7.3,63,241,76,0.03,0.10,0.14,0.03,0.14,0.06,0.20,0.26,0.06,0.26
418,Andrea Carboni,ITA,DF,Monza,it Serie A,23,2001,21,16,"1,487",16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13,46,22,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10
419,Valentin Carboni,ARG,MF,Monza,it Serie A,19,2005,25,7,870,9.7,2,3,5,2,0,0,1,0,1.7,1.7,1.6,3.3,35,40,53,0.21,0.31,0.52,0.21,0.52,0.18,0.16,0.34,0.18,0.34
420,Isaac Carcelen,ESP,DF,Cádiz,es La Liga,30,1993,29,27,"2,369",26.3,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.5,23,69,58,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
421,Irvin Cardona,FRA,"MF,DF",Augsburg,de Bundesliga,26,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
422,Marc Cardona,ESP,FW,Las Palmas,es La Liga,28,1995,20,6,586,6.5,3,1,4,2,1,1,3,0,3.2,2.4,1.0,3.4,7,10,59,0.46,0.15,0.61,0.31,0.46,0.47,0.15,0.62,0.36,0.50
423,Sergi Cardona,ESP,DF,Las Palmas,es La Liga,24,1999,30,27,"2,493",27.7,1,2,3,1,0,0,10,0,2.6,2.6,2.4,4.9,56,146,147,0.04,0.07,0.11,0.04,0.11,0.09,0.09,0.18,0.09,0.18
424,Johnny Cardoso,USA,MF,Betis,es La Liga,22,2001,10,9,767,8.5,1,2,3,1,0,0,2,0,0.5,0.5,0.3,0.8,4,32,6,0.12,0.23,0.35,0.12,0.35,0.06,0.03,0.09,0.06,0.09
425,Igor Carioca,BRA,"DF,MF",Lorient,fr Ligue 1,27,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,8,16,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10
426,Diego Carlos,BRA,DF,Aston Villa,eng Premier League,31,1993,22,17,"1,526",17.0,0,0,0,0,0,0,4,0,0.9,0.9,0.1,1.0,4,55,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06
427,Carmona,ESP,"MF,DF",Getafe,es La Liga,22,2002,23,9,817,9.1,1,1,2,1,0,0,7,0,0.4,0.4,0.6,1.0,15,17,34,0.11,0.11,0.22,0.11,0.22,0.04,0.07,0.11,0.04,0.11
428,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23,2000,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429,Yannick Carrasco,BEL,DF,Atlético Madrid,es La Liga,30,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0.00,0.41,0.41,0.00,0.41,0.03,0.10,0.12,0.03,0.12
430,Álvaro Carreras,ESP,"MF,FW",Granada,es La Liga,21,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13,14,31,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15
431,Rasmus Carstensen,DEN,"DF,FW",Köln,de Bundesliga,23,2000,22,18,"1,623",18.0,0,0,0,0,0,0,2,1,0.8,0.8,1.7,2.5,32,50,85,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14
432,Antonin Cartillier,FRA,DF,Monaco,fr Ligue 1,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433,Dani Carvajal,ESP,DF,Real Madrid,es La Liga,32,1992,24,21,"1,828",20.3,4,2,6,4,0,0,4,1,1.1,1.1,2.3,3.4,28,74,145,0.20,0.10,0.30,0.20,0.30,0.05,0.11,0.17,0.05,0.17
434,Fabio Carvalho,POR,MF,RB Leipzig,de Bundesliga,21,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25
435,William Carvalho,POR,MF,Betis,es La Liga,32,1992,17,3,569,6.3,1,3,4,1,0,0,2,0,0.4,0.4,0.5,0.8,10,45,10,0.16,0.47,0.63,0.16,0.63,0.06,0.07,0.13,0.06,0.13
436,Cesare Casadei,ITA,"FW,MF",Chelsea,eng Premier League,21,2003,5,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
437,Marc Casado,ESP,MF,Barcelona,es La Liga,20,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
